"id","operador_id","data_abertura","valor_inicial","data_fechamento","valor_fechamento"
"190","66","66","0","KG","0.00"
"191","66","106","0","KG","0.00"
"192","66","14","0","KG","0.00"
"193","66","186","1","PCT","0.00"
"194","66","13","1","DZ","0.00"
"195","67","66","0","KG","0.00"
"196","68","186","1","PCT","0.00"
"197","68","17","1","DZ","0.00"
"198","69","66","0","KG","0.00"
"199","69","17","1","DZ","0.00"
"200","70","13","1","DZ","0.00"
"201","71","13","1","DZ","0.00"
"202","72","60","0","KG","0.00"
"203","73","17","1","DZ","0.00"
"204","73","1","1","KG","0.00"
"205","74","65","4","KG","0.00"
"206","74","165","1","UN","0.00"
"207","74","60","1","KG","0.00"
"208","74","64","0","KG","0.00"
"209","74","166","0","KG","0.00"
"210","75","179","2","PCT","0.00"
"211","75","66","1","KG","0.00"
"212","75","4","1","PCT","0.00"
"213","76","93","1","UN","0.00"
"214","76","109","0","KG","0.00"
"215","76","161","0","KG","0.00"
"216","76","66","0","KG","0.00"
"217","76","13","1","DZ","0.00"
"218","76","106","0","KG","0.00"
"219","76","59","0","KG","0.00"
"220","77","210","1","PCT","0.00"
"221","77","166","0","KG","0.00"
"222","77","13","1","DZ","0.00"
"223","77","186","1","PCT","0.00"
"224","78","11","0","KG","0.00"
"225","79","61","0","KG","0.00"
"226","79","64","0","KG","0.00"
"227","79","162","6","UN","0.00"
"228","80","7","1","PCT","0.00"
"229","81","184","3","KG","0.00"
"230","81","166","0","KG","0.00"
"231","81","66","0","KG","0.00"
"232","82","108","1","KG","0.00"
"233","82","212","4","UN","0.00"
"234","82","66","0","KG","0.00"
"235","82","13","1","DZ","0.00"
"236","82","151","2","UN","0.00"
"237","83","106","0","KG","0.00"
"238","83","65","0","KG","0.00"
"239","83","66","1","KG","0.00"
"240","83","125","2","UN","0.00"
"241","84","66","1","KG","0.00"
"242","84","54","0","KG","0.00"
"243","84","165","2","UN","0.00"
"247","86","17","1","DZ","0.00"
"248","86","152","1","UN","0.00"
"249","86","4","1","PCT","0.00"
"250","86","7","1","PCT","0.00"
"251","86","31","1","KG","0.00"
"252","86","179","1","PCT","0.00"
"253","86","93","1","UN","0.00"
"254","87","7","1","PCT","0.00"
"255","87","165","1","UN","0.00"
"256","87","13","1","DZ","0.00"
"257","87","129","1","UN","0.00"
"258","88","7","1","PCT","0.00"
"259","88","5","1","PCT","0.00"
"260","88","108","0","KG","0.00"
"261","88","60","0","KG","0.00"
"262","88","13","1","DZ","0.00"
"263","88","93","1","UN","0.00"
"264","88","58","0","KG","0.00"
"265","89","60","0","KG","0.00"
"266","89","147","1","UN","0.00"
"267","90","13","1","DZ","0.00"
"268","91","17","1","DZ","0.00"
"269","91","60","0","KG","0.00"
"270","91","165","2","UN","0.00"
"271","91","177","1","UN","0.00"
"272","92","61","0","KG","0.00"
"273","92","13","1","DZ","0.00"
"274","93","58","1","KG","0.00"
"275","94","159","3","UN","0.00"
"276","94","65","1","KG","0.00"
"277","94","61","0","KG","0.00"
"278","95","93","1","UN","0.00"
"279","95","64","0","KG","0.00"
"280","95","61","0","KG","0.00"
"281","95","60","0","KG","0.00"
"282","95","13","1","DZ","0.00"
"283","95","151","1","UN","0.00"
"284","96","63","0","KG","0.00"
"285","96","108","0","KG","0.00"
"286","96","179","1","PCT","0.00"
"287","96","103","1","PCT","0.00"
"288","96","191","0","KG","0.00"
"289","96","57","0","KG","0.00"
"290","96","17","1","DZ","0.00"
"291","96","152","1","UN","0.00"
"292","97","165","1","UN","0.00"
"293","97","166","0","KG","0.00"
"294","97","187","5","UN","0.00"
"295","98","30","0","KG","0.00"
"296","99","66","2","KG","0.00"
"297","99","65","1","KG","0.00"
"298","100","191","0","KG","0.00"
"299","100","97","1","PCT","0.00"
"300","101","110","0","KG","0.00"
"301","102","66","0","KG","0.00"
"302","103","31","0","KG","0.00"
"303","103","170","0","KG","0.00"
"304","103","208","3","UN","0.00"
"305","104","110","0","KG","0.00"
"306","104","107","0","KG","0.00"
"307","104","108","1","KG","0.00"
"308","105","53","0","KG","0.00"
